Date,Education and Communication Commodities_Inflation,Education and Communication Services_Inflation,Information Technology Commodities_Inflation,Information Technology Hardware & Services_Inflation,Education and Communication Commodities_Avg_Value,Education and Communication Services_Avg_Value,Information Technology Commodities_Avg_Value,Information Technology Hardware & Services_Avg_Value
2018-01-01,0.0,0.0,0.0,0.0,70.32,109.855,56.343,7.468
2018-02-01,0.0369738339021763,-0.1629420599881692,-0.6069964325648325,-0.0133904659882166,70.346,109.676,56.001,7.467
2018-03-01,-0.0056861797401497,-0.0291768481709753,-0.5392760843556332,0.0,70.342,109.644,55.699,0.0
2018-04-01,-0.0753461658752896,-0.0173288096019907,0.1885132587658766,0.0,70.289,109.625,55.804,0.0
2018-05-01,0.1536513536968931,0.0966932725199543,-0.478460325424701,0.0,70.397,109.731,55.537,0.0
2018-06-01,-0.0909129650411344,0.1822638999006587,-0.7886634135801374,0.0,70.333,109.931,55.099,0.0
2018-07-01,-0.9440803036981248,0.3411230681063637,-1.1379516869634565,0.0,69.669,110.306,54.472,0.0
2018-08-01,-0.5684020152435076,0.5756713143437286,0.3432956381260066,0.0,69.273,110.941,54.659,0.0
2018-09-01,-0.3709959147142339,0.5200962673853615,0.4171316709050687,0.0,69.016,111.518,54.887,0.0
2018-10-01,-0.6259418105946435,-0.2690148675550063,-1.399238435330774,0.0,68.584,111.218,54.119,0.0
2018-11-01,-0.8354718301644803,-0.3803341185779296,-1.5761562482677127,0.0,68.011,110.795,53.266,0.0
2018-12-01,0.3396509388187363,-0.1814161288866911,0.1088874704314291,0.0,68.242,110.594,53.324,0.0
2019-01-01,0.0512880630696654,0.0388809519503929,-0.4632060610606836,-0.8838891120932058,68.277,110.637,53.077,7.401
2019-02-01,-0.1259574966679832,0.1934253459511703,-0.9476797859713226,-0.405350628293466,68.191,110.851,52.574,7.371
2019-03-01,-0.6393805634174687,-0.0676583882869841,0.0912998820709942,0.0,67.755,110.776,52.622,0.0
2019-04-01,-0.5992177699062684,0.0920777063623923,-0.8342518338337546,0.0,67.349,110.878,52.183,0.0
2019-05-01,0.3533831237286344,0.1461065315031096,-0.663051185251895,0.0,67.587,111.04,51.837,0.0
2019-06-01,-0.6229008537144809,0.2710734870316811,-1.4507012365684746,0.0,67.166,111.341,51.085,0.0
2019-07-01,-0.0401989101628808,0.2802202243558094,1.8713908192228512,0.0,67.139,111.653,52.041,0.0
2019-08-01,0.6687618224876735,0.4979713935138408,0.4899982705943495,0.0,67.588,112.209,52.296,0.0
2019-09-01,-0.1405574954133848,0.2129953925264383,-0.9331497628881746,0.0,67.493,112.448,51.808,0.0
2019-10-01,-1.1467855925799686,0.1049373932840103,-2.0479462631253886,0.0,66.719,112.566,50.747,0.0
2019-11-01,-0.5200917279935213,0.222980296004116,-0.4276114844227185,0.0,66.372,112.817,50.53,0.0
2019-12-01,-0.8979690230820236,0.156891248659341,-2.137344151988918,0.0,65.776,112.994,49.45,0.0
2020-01-01,-1.2892240330819704,0.2690408340265904,-0.7320525783619858,-0.1763668430335152,64.928,113.298,49.088,7.358
2020-02-01,0.3696402168556156,-0.0900280675740106,0.7741199478487726,-0.9785267735797798,65.168,113.196,49.468,7.286
2020-03-01,0.73809231524673,-0.1457648680165291,0.513463248969015,0.0,65.649,113.031,49.722,0.0
2020-04-01,0.3457783058386399,-0.007077704346603,0.1890511242508274,0.0,65.876,113.023,49.816,0.0
2020-05-01,-0.2261825247434568,0.0017695513302662,-0.5058615705797354,0.0,65.727,113.025,49.564,0.0
2020-06-01,-2.0356930941622275,-0.1619110816191149,-0.4640464853522652,0.0,64.389,112.842,49.334,0.0
2020-07-01,-0.4628119709888412,1.083816309530139,-0.2249969595005563,0.0,64.091,114.065,49.223,0.0
2020-08-01,0.2153188435193742,0.4400999430149488,0.0325051297157763,0.0,64.229,114.567,49.239,0.0
2020-09-01,-1.0400286474956832,0.2321785505424722,-3.0199638497938497,0.0,63.561,114.833,47.752,0.0
2020-10-01,-0.7882191910133507,0.1811326012557401,-0.8313787904171699,0.0,63.06,115.041,47.355,0.0
2020-11-01,-0.3536314620995906,-0.0556323397745139,0.722204624643652,0.0,62.837,114.977,47.697,0.0
2020-12-01,-0.2355300221207334,0.0330500882785189,0.2033670880768001,0.0,62.689,115.015,47.794,0.0
2021-01-01,0.1850404377163439,-0.0556449158805483,-0.5481859647654574,0.2882239912160411,62.805,114.951,47.532,7.307
2021-02-01,0.4904068147440377,0.1670276900592515,-0.4649499284692382,1.6148898316682647,63.113,115.143,47.311,7.425
2021-03-01,-1.13764200719344,-0.0564515428640888,-1.688825008983108,0.0,62.395,115.078,46.512,0.0
2021-04-01,1.024120522477756,0.2016023914214626,3.7173202614379175,0.0,63.034,115.31,48.241,0.0
2021-05-01,-0.4791065139448491,0.1933917266498941,0.3233763810866152,0.0,62.732,115.533,48.397,0.0
2021-06-01,-0.1068035452400639,0.2207161590195072,-0.231419302849356,0.0,62.665,115.788,48.285,0.0
2021-07-01,0.675017952605117,0.0811828514181156,1.0168789479134466,0.0,63.088,115.882,48.776,0.0
2021-08-01,-1.5248541719502962,0.7662967501423701,0.262424143021156,0.0,62.126,116.77,48.904,0.0
2021-09-01,0.2140810610694377,0.8246981245182861,0.7852118436119548,0.0,62.259,117.733,49.288,0.0
2021-10-01,-0.9380169935270466,0.1885622552725285,-0.9251744846615728,0.0,61.675,117.955,48.832,0.0
2021-11-01,-0.8123226591001176,0.0169556186681241,-1.200032765399739,0.0,61.174,117.975,48.246,0.0
2021-12-01,-0.0245202210089279,-0.0457724094087619,-0.634249471458781,0.0,61.159,117.921,47.94,0.0
2022-01-01,-0.4561879690642367,-0.0305289134250874,-0.1898206090947041,-1.2390572390572396,60.88,117.885,47.849,7.333
2022-02-01,-0.3465834428383774,0.0475039233150953,-0.5433760371167606,-2.5637528978590063,60.669,117.941,47.589,7.145
2022-03-01,-0.7351365606817262,-0.2314716680374084,-0.985521864296368,0.0,60.223,117.668,47.12,0.0
2022-04-01,-0.5296979559304527,0.0951830574157819,-2.478777589134129,0.0,59.904,117.78,45.952,0.0
2022-05-01,-1.0433360042735096,0.0526405162166732,-2.1870647632311835,0.0,59.279,117.842,44.947,0.0
2022-06-01,-1.239899458492899,0.159535649428899,0.195786148130006,0.0,58.544,118.03,45.035,0.0
2022-07-01,1.1068597977589525,0.0169448445310527,-0.5129343843677026,0.0,59.192,118.05,44.804,0.0
2022-08-01,0.277064468171373,0.5311308767471434,-0.4932595303990816,0.0,59.356,118.677,44.583,0.0
2022-09-01,-1.8279533661297973,0.3201968367922969,-0.5472938115425152,0.0,58.271,119.057,44.339,0.0
2022-10-01,-1.223593211031215,0.2024240489849393,-1.7591736394596214,0.0,57.558,119.298,43.559,0.0
2022-11-01,-0.3683241252302127,0.6957367265167935,-1.9284189260543092,0.0,57.346,120.128,42.719,0.0
2022-12-01,-0.5894046664108976,0.1265316995205045,-1.0697815960111434,0.0,57.008,120.28,42.262,0.0
2023-01-01,-1.0945832163906877,0.3533422015297605,-0.0473238370167106,-0.2099370188943239,56.384,120.705,42.242,7.13
2023-02-01,-0.9151532349602642,0.2419120997473101,-0.8593343118223573,-1.051893408134641,55.868,120.997,41.879,7.055
2023-03-01,0.4439034867902869,0.138019950907875,-0.391604384058819,0.0,56.116,121.164,41.715,0.0
2023-04-01,-1.486207142347995,0.0775807995774258,-0.1438331535418946,0.0,55.282,121.258,41.655,0.0
2023-05-01,0.6114105857241148,0.0321628263702189,-0.2880806625855325,0.0,55.62,121.297,41.535,0.0
2023-06-01,0.1510248112190026,-0.0725491974244985,0.0938967136150159,0.0,55.704,121.209,41.574,0.0
2023-07-01,-2.005241993393647,0.5115131714641619,-1.3518064174724564,0.0,54.587,121.829,41.012,0.0
2023-08-01,-1.0020700899481594,0.6205419070993035,-0.7729445040476013,0.0,54.04,122.585,40.695,0.0
2023-09-01,0.4311621021465761,0.3793286291144948,0.3071630421427773,0.0,54.273,123.05,40.82,0.0
2023-10-01,-0.9802295800858674,-0.2129215765948822,-1.3522782949534573,0.0,53.741,122.788,40.268,0.0
2023-11-01,-1.2523027111516427,0.0,-2.6820303963444925,0.0,53.068,122.788,39.188,0.0
2023-12-01,-0.7122936609632924,0.153923836205494,-0.3929774420741161,0.0,52.69,122.977,39.034,0.0
2024-01-01,-0.764851015372936,0.2862323849174952,0.7711226110570291,0.1984408221119782,52.287,123.329,39.335,7.069
