,Date,Series ID,Value,Inflation Rate,Commodity
0,2018-01-01,CUUR0000SEEEC,56.343,0.0,Information Technology Commodities
1,2018-02-01,CUUR0000SEEEC,56.001,-0.6069964325648325,Information Technology Commodities
2,2018-03-01,CUUR0000SEEEC,55.699,-0.5392760843556332,Information Technology Commodities
3,2018-04-01,CUUR0000SEEEC,55.804,0.18851325876587666,Information Technology Commodities
4,2018-05-01,CUUR0000SEEEC,55.537,-0.47846032542470107,Information Technology Commodities
5,2018-06-01,CUUR0000SEEEC,55.099,-0.7886634135801374,Information Technology Commodities
6,2018-07-01,CUUR0000SEEEC,54.472,-1.1379516869634565,Information Technology Commodities
7,2018-08-01,CUUR0000SEEEC,54.659,0.3432956381260066,Information Technology Commodities
8,2018-09-01,CUUR0000SEEEC,54.887,0.41713167090506875,Information Technology Commodities
9,2018-10-01,CUUR0000SEEEC,54.119,-1.399238435330774,Information Technology Commodities
10,2018-11-01,CUUR0000SEEEC,53.266,-1.5761562482677127,Information Technology Commodities
11,2018-12-01,CUUR0000SEEEC,53.324,0.1088874704314291,Information Technology Commodities
12,2019-01-01,CUUR0000SEEEC,53.077,-0.4632060610606836,Information Technology Commodities
13,2019-02-01,CUUR0000SEEEC,52.574,-0.9476797859713226,Information Technology Commodities
14,2019-03-01,CUUR0000SEEEC,52.622,0.09129988207099426,Information Technology Commodities
15,2019-04-01,CUUR0000SEEEC,52.183,-0.8342518338337546,Information Technology Commodities
16,2019-05-01,CUUR0000SEEEC,51.837,-0.663051185251895,Information Technology Commodities
17,2019-06-01,CUUR0000SEEEC,51.085,-1.4507012365684746,Information Technology Commodities
18,2019-07-01,CUUR0000SEEEC,52.041,1.8713908192228512,Information Technology Commodities
19,2019-08-01,CUUR0000SEEEC,52.296,0.4899982705943495,Information Technology Commodities
20,2019-09-01,CUUR0000SEEEC,51.808,-0.9331497628881746,Information Technology Commodities
21,2019-10-01,CUUR0000SEEEC,50.747,-2.0479462631253886,Information Technology Commodities
22,2019-11-01,CUUR0000SEEEC,50.53,-0.42761148442271857,Information Technology Commodities
23,2019-12-01,CUUR0000SEEEC,49.45,-2.137344151988918,Information Technology Commodities
24,2020-01-01,CUUR0000SEEEC,49.088,-0.7320525783619858,Information Technology Commodities
25,2020-02-01,CUUR0000SEEEC,49.468,0.7741199478487726,Information Technology Commodities
26,2020-03-01,CUUR0000SEEEC,49.722,0.513463248969015,Information Technology Commodities
27,2020-04-01,CUUR0000SEEEC,49.816,0.18905112425082748,Information Technology Commodities
28,2020-05-01,CUUR0000SEEEC,49.564,-0.5058615705797354,Information Technology Commodities
29,2020-06-01,CUUR0000SEEEC,49.334,-0.4640464853522652,Information Technology Commodities
30,2020-07-01,CUUR0000SEEEC,49.223,-0.22499695950055631,Information Technology Commodities
31,2020-08-01,CUUR0000SEEEC,49.239,0.03250512971577635,Information Technology Commodities
32,2020-09-01,CUUR0000SEEEC,47.752,-3.0199638497938497,Information Technology Commodities
33,2020-10-01,CUUR0000SEEEC,47.355,-0.8313787904171699,Information Technology Commodities
34,2020-11-01,CUUR0000SEEEC,47.697,0.722204624643652,Information Technology Commodities
35,2020-12-01,CUUR0000SEEEC,47.794,0.20336708807680015,Information Technology Commodities
36,2021-01-01,CUUR0000SEEEC,47.532,-0.5481859647654574,Information Technology Commodities
37,2021-02-01,CUUR0000SEEEC,47.311,-0.4649499284692382,Information Technology Commodities
38,2021-03-01,CUUR0000SEEEC,46.512,-1.688825008983108,Information Technology Commodities
39,2021-04-01,CUUR0000SEEEC,48.241,3.7173202614379175,Information Technology Commodities
40,2021-05-01,CUUR0000SEEEC,48.397,0.32337638108661526,Information Technology Commodities
41,2021-06-01,CUUR0000SEEEC,48.285,-0.23141930284935608,Information Technology Commodities
42,2021-07-01,CUUR0000SEEEC,48.776,1.0168789479134466,Information Technology Commodities
43,2021-08-01,CUUR0000SEEEC,48.904,0.262424143021156,Information Technology Commodities
44,2021-09-01,CUUR0000SEEEC,49.288,0.7852118436119548,Information Technology Commodities
45,2021-10-01,CUUR0000SEEEC,48.832,-0.9251744846615728,Information Technology Commodities
46,2021-11-01,CUUR0000SEEEC,48.246,-1.200032765399739,Information Technology Commodities
47,2021-12-01,CUUR0000SEEEC,47.94,-0.634249471458781,Information Technology Commodities
48,2022-01-01,CUUR0000SEEEC,47.849,-0.1898206090947041,Information Technology Commodities
49,2022-02-01,CUUR0000SEEEC,47.589,-0.5433760371167606,Information Technology Commodities
50,2022-03-01,CUUR0000SEEEC,47.12,-0.9855218642963681,Information Technology Commodities
51,2022-04-01,CUUR0000SEEEC,45.952,-2.478777589134129,Information Technology Commodities
52,2022-05-01,CUUR0000SEEEC,44.947,-2.1870647632311835,Information Technology Commodities
53,2022-06-01,CUUR0000SEEEC,45.035,0.19578614813000605,Information Technology Commodities
