Date,Series ID,Value,Inflation Rate,Category
2018-01,CMU2025100100000D,48.44,0,Total Compensation
2018-04,CMU2025100100000D,49.08,1.32122213,Total Compensation
2018-07,CMU2025100100000D,49.92,1.711491443,Total Compensation
2018-10,CMU2025100100000D,49,-1.842948718,Total Compensation
2019-01,CMU2025100100000D,49.87,1.775510204,Total Compensation
2019-04,CMU2025100100000D,50.21,0.681772609,Total Compensation
2019-07,CMU2025100100000D,50.68,0.936068512,Total Compensation
2019-10,CMU2025100100000D,50.94,0.513022889,Total Compensation
2020-01,CMU2025100100000D,50.82,-0.23557126,Total Compensation
2020-04,CMU2025100100000D,50.73,-0.177095632,Total Compensation
2020-07,CMU2025100100000D,51.27,1.0644589,Total Compensation
2020-10,CMU2025100100000D,49.09,-4.25199922,Total Compensation
2021-01,CMU2025100100000D,50.55,2.974129151,Total Compensation
2021-04,CMU2025100100000D,50.49,-0.118694362,Total Compensation
2021-07,CMU2025100100000D,51.67,2.337096455,Total Compensation
2021-10,CMU2025100100000D,53.17,2.903038514,Total Compensation
2022-01,CMU2025100100000D,54.31,2.144066203,Total Compensation
2022-04,CMU2025100100000D,54.99,1.252071442,Total Compensation
2022-07,CMU2025100100000D,55.72,1.327514093,Total Compensation
2022-10,CMU2025100100000D,57.56,3.302225413,Total Compensation
2023-01,CMU2025100100000D,58.38,1.424600417,Total Compensation
2023-04,CMU2025100100000D,59,1.062007537,Total Compensation
2023-07,CMU2025100100000D,59.14,0.237288136,Total Compensation
2023-10,CMU2025100100000D,60.84,2.874535002,Total Compensation
2024-01,CMU2025100100000D,61.65,1.331360947,Total Compensation
2018-01,CMU2025100120000D,43.89,0,Wages and Salaries
2018-04,CMU2025100120000D,44.5,1.389838232,Wages and Salaries
2018-07,CMU2025100120000D,45,1.123595506,Wages and Salaries
2018-10,CMU2025100120000D,43.51,-3.311111111,Wages and Salaries
2019-01,CMU2025100120000D,44.25,1.700758446,Wages and Salaries
2019-04,CMU2025100120000D,44.74,1.107344633,Wages and Salaries
2019-07,CMU2025100120000D,45.01,0.603486813,Wages and Salaries
2019-10,CMU2025100120000D,45.13,0.266607421,Wages and Salaries
2020-01,CMU2025100120000D,45.48,0.775537337,Wages and Salaries
2020-04,CMU2025100120000D,45.37,-0.241864556,Wages and Salaries
2020-07,CMU2025100120000D,45.83,1.013885828,Wages and Salaries
2020-10,CMU2025100120000D,44.39,-3.142046694,Wages and Salaries
2021-01,CMU2025100120000D,45.62,2.770894346,Wages and Salaries
2021-04,CMU2025100120000D,45.26,-0.789127576,Wages and Salaries
2021-07,CMU2025100120000D,47.17,4.220061865,Wages and Salaries
2021-10,CMU2025100120000D,48.98,3.837184651,Wages and Salaries
2022-01,CMU2025100120000D,49.97,2.021233156,Wages and Salaries
2022-04,CMU2025100120000D,50.31,0.680408245,Wages and Salaries
2022-07,CMU2025100120000D,51.16,1.689524945,Wages and Salaries
2022-10,CMU2025100120000D,54.14,5.824863174,Wages and Salaries
2023-01,CMU2025100120000D,54.84,1.292944219,Wages and Salaries
2023-04,CMU2025100120000D,55.35,0.929978118,Wages and Salaries
2023-07,CMU2025100120000D,55.55,0.361336947,Wages and Salaries
2023-10,CMU2025100120000D,58.29,4.932493249,Wages and Salaries
2024-01,CMU2025100120000D,59.19,1.544004117,Wages and Salaries
2018-01,CMU2025100200000D,23.64,0,Benefits
2018-04,CMU2025100200000D,24.21,2.411167513,Benefits
2018-07,CMU2025100200000D,24.41,0.826104915,Benefits
2018-10,CMU2025100200000D,23.78,-2.580909463,Benefits
2019-01,CMU2025100200000D,24.27,2.060555088,Benefits
2019-04,CMU2025100200000D,23.46,-3.337453646,Benefits
2019-07,CMU2025100200000D,24.63,4.987212276,Benefits
2019-10,CMU2025100200000D,23.32,-5.318717012,Benefits
2020-01,CMU2025100200000D,23.51,0.814751286,Benefits
2020-04,CMU2025100200000D,23.64,0.552956189,Benefits
2020-07,CMU2025100200000D,23.73,0.38071066,Benefits
2020-10,CMU2025100200000D,24.07,1.432785504,Benefits
2021-01,CMU2025100200000D,24.11,0.166181969,Benefits
2021-04,CMU2025100200000D,24.74,2.613023642,Benefits
2021-07,CMU2025100200000D,25.16,1.697655618,Benefits
2021-10,CMU2025100200000D,25.87,2.821939587,Benefits
2022-01,CMU2025100200000D,26.01,0.541167375,Benefits
2022-04,CMU2025100200000D,27.19,4.536716647,Benefits
2022-07,CMU2025100200000D,27.85,2.427363001,Benefits
2022-10,CMU2025100200000D,29.11,4.524236984,Benefits
2023-01,CMU2025100200000D,30.29,4.053589832,Benefits
2023-04,CMU2025100200000D,30.46,0.561241334,Benefits
2023-07,CMU2025100200000D,30.11,-1.149047932,Benefits
2023-10,CMU2025100200000D,32.43,7.705081368,Benefits
2024-01,CMU2025100200000D,33.11,2.096823928,Benefits
