Series ID,Year,Period,Label,Value
CUUR0000SEEEC,2018,M01,2018 Jan,56.343
CUUR0000SEEEC,2018,M02,2018 Feb,56.001
CUUR0000SEEEC,2018,M03,2018 Mar,55.699
CUUR0000SEEEC,2018,M04,2018 Apr,55.804
CUUR0000SEEEC,2018,M05,2018 May,55.537
CUUR0000SEEEC,2018,M06,2018 Jun,55.099
CUUR0000SEEEC,2018,M07,2018 Jul,54.472
CUUR0000SEEEC,2018,M08,2018 Aug,54.659
CUUR0000SEEEC,2018,M09,2018 Sep,54.887
CUUR0000SEEEC,2018,M10,2018 Oct,54.119
CUUR0000SEEEC,2018,M11,2018 Nov,53.266
CUUR0000SEEEC,2018,M12,2018 Dec,53.324
CUUR0000SEEEC,2019,M01,2019 Jan,53.077
CUUR0000SEEEC,2019,M02,2019 Feb,52.574
CUUR0000SEEEC,2019,M03,2019 Mar,52.622
CUUR0000SEEEC,2019,M04,2019 Apr,52.183
CUUR0000SEEEC,2019,M05,2019 May,51.837
CUUR0000SEEEC,2019,M06,2019 Jun,51.085
CUUR0000SEEEC,2019,M07,2019 Jul,52.041
CUUR0000SEEEC,2019,M08,2019 Aug,52.296
CUUR0000SEEEC,2019,M09,2019 Sep,51.808
CUUR0000SEEEC,2019,M10,2019 Oct,50.747
CUUR0000SEEEC,2019,M11,2019 Nov,50.53
CUUR0000SEEEC,2019,M12,2019 Dec,49.45
CUUR0000SEEEC,2020,M01,2020 Jan,49.088
CUUR0000SEEEC,2020,M02,2020 Feb,49.468
CUUR0000SEEEC,2020,M03,2020 Mar,49.722
CUUR0000SEEEC,2020,M04,2020 Apr,49.816
CUUR0000SEEEC,2020,M05,2020 May,49.564
CUUR0000SEEEC,2020,M06,2020 Jun,49.334
CUUR0000SEEEC,2020,M07,2020 Jul,49.223
CUUR0000SEEEC,2020,M08,2020 Aug,49.239
CUUR0000SEEEC,2020,M09,2020 Sep,47.752
CUUR0000SEEEC,2020,M10,2020 Oct,47.355
CUUR0000SEEEC,2020,M11,2020 Nov,47.697
CUUR0000SEEEC,2020,M12,2020 Dec,47.794
CUUR0000SEEEC,2021,M01,2021 Jan,47.532
CUUR0000SEEEC,2021,M02,2021 Feb,47.311
CUUR0000SEEEC,2021,M03,2021 Mar,46.512
CUUR0000SEEEC,2021,M04,2021 Apr,48.241
CUUR0000SEEEC,2021,M05,2021 May,48.397
CUUR0000SEEEC,2021,M06,2021 Jun,48.285
CUUR0000SEEEC,2021,M07,2021 Jul,48.776
CUUR0000SEEEC,2021,M08,2021 Aug,48.904
CUUR0000SEEEC,2021,M09,2021 Sep,49.288
CUUR0000SEEEC,2021,M10,2021 Oct,48.832
CUUR0000SEEEC,2021,M11,2021 Nov,48.246
CUUR0000SEEEC,2021,M12,2021 Dec,47.94
CUUR0000SEEEC,2022,M01,2022 Jan,47.849
CUUR0000SEEEC,2022,M02,2022 Feb,47.589
CUUR0000SEEEC,2022,M03,2022 Mar,47.12
CUUR0000SEEEC,2022,M04,2022 Apr,45.952
CUUR0000SEEEC,2022,M05,2022 May,44.947
CUUR0000SEEEC,2022,M06,2022 Jun,45.035
CUUR0000SEEEC,2022,M07,2022 Jul,44.804
CUUR0000SEEEC,2022,M08,2022 Aug,44.583
CUUR0000SEEEC,2022,M09,2022 Sep,44.339
CUUR0000SEEEC,2022,M10,2022 Oct,43.559
CUUR0000SEEEC,2022,M11,2022 Nov,42.719
CUUR0000SEEEC,2022,M12,2022 Dec,42.262
CUUR0000SEEEC,2023,M01,2023 Jan,42.242
CUUR0000SEEEC,2023,M02,2023 Feb,41.879
CUUR0000SEEEC,2023,M03,2023 Mar,41.715
CUUR0000SEEEC,2023,M04,2023 Apr,41.655
CUUR0000SEEEC,2023,M05,2023 May,41.535
CUUR0000SEEEC,2023,M06,2023 Jun,41.574
CUUR0000SEEEC,2023,M07,2023 Jul,41.012
CUUR0000SEEEC,2023,M08,2023 Aug,40.695
CUUR0000SEEEC,2023,M09,2023 Sep,40.82
CUUR0000SEEEC,2023,M10,2023 Oct,40.268
CUUR0000SEEEC,2023,M11,2023 Nov,39.188
CUUR0000SEEEC,2023,M12,2023 Dec,39.034
CUUR0000SEEEC,2024,M01,2024 Jan,39.335
CUUR0000SEEEC,2024,M02,2024 Feb,39.417
CUUR0000SEEEC,2024,M03,2024 Mar,38.948
CUUR0000SEEEC,2024,M04,2024 Apr,38.9
CUUR0000SEEEC,2024,M05,2024 May,38.169
CUUR0000SEEEC,2024,M06,2024 Jun,38.022
CUUR0000SEEEC,2024,M07,2024 Jul,38.255
CUURS000SAEC,2018,M01,2018 Jan,70.32
CUURS000SAEC,2018,M02,2018 Feb,70.346
CUURS000SAEC,2018,M03,2018 Mar,70.342
CUURS000SAEC,2018,M04,2018 Apr,70.289
CUURS000SAEC,2018,M05,2018 May,70.397
CUURS000SAEC,2018,M06,2018 Jun,70.333
CUURS000SAEC,2018,M07,2018 Jul,69.669
CUURS000SAEC,2018,M08,2018 Aug,69.273
CUURS000SAEC,2018,M09,2018 Sep,69.016
CUURS000SAEC,2018,M10,2018 Oct,68.584
CUURS000SAEC,2018,M11,2018 Nov,68.011
CUURS000SAEC,2018,M12,2018 Dec,68.242
CUURS000SAEC,2019,M01,2019 Jan,68.277
CUURS000SAEC,2019,M02,2019 Feb,68.191
CUURS000SAEC,2019,M03,2019 Mar,67.755
CUURS000SAEC,2019,M04,2019 Apr,67.349
CUURS000SAEC,2019,M05,2019 May,67.587
CUURS000SAEC,2019,M06,2019 Jun,67.166
CUURS000SAEC,2019,M07,2019 Jul,67.139
CUURS000SAEC,2019,M08,2019 Aug,67.588
CUURS000SAEC,2019,M09,2019 Sep,67.493
CUURS000SAEC,2019,M10,2019 Oct,66.719
CUURS000SAEC,2019,M11,2019 Nov,66.372
CUURS000SAEC,2019,M12,2019 Dec,65.776
CUURS000SAEC,2020,M01,2020 Jan,64.928
CUURS000SAEC,2020,M02,2020 Feb,65.168
CUURS000SAEC,2020,M03,2020 Mar,65.649
CUURS000SAEC,2020,M04,2020 Apr,65.876
CUURS000SAEC,2020,M05,2020 May,65.727
CUURS000SAEC,2020,M06,2020 Jun,64.389
CUURS000SAEC,2020,M07,2020 Jul,64.091
CUURS000SAEC,2020,M08,2020 Aug,64.229
CUURS000SAEC,2020,M09,2020 Sep,63.561
CUURS000SAEC,2020,M10,2020 Oct,63.06
CUURS000SAEC,2020,M11,2020 Nov,62.837
CUURS000SAEC,2020,M12,2020 Dec,62.689
CUURS000SAEC,2021,M01,2021 Jan,62.805
CUURS000SAEC,2021,M02,2021 Feb,63.113
CUURS000SAEC,2021,M03,2021 Mar,62.395
CUURS000SAEC,2021,M04,2021 Apr,63.034
CUURS000SAEC,2021,M05,2021 May,62.732
CUURS000SAEC,2021,M06,2021 Jun,62.665
CUURS000SAEC,2021,M07,2021 Jul,63.088
CUURS000SAEC,2021,M08,2021 Aug,62.126
CUURS000SAEC,2021,M09,2021 Sep,62.259
CUURS000SAEC,2021,M10,2021 Oct,61.675
CUURS000SAEC,2021,M11,2021 Nov,61.174
CUURS000SAEC,2021,M12,2021 Dec,61.159
CUURS000SAEC,2022,M01,2022 Jan,60.88
CUURS000SAEC,2022,M02,2022 Feb,60.669
CUURS000SAEC,2022,M03,2022 Mar,60.223
CUURS000SAEC,2022,M04,2022 Apr,59.904
CUURS000SAEC,2022,M05,2022 May,59.279
CUURS000SAEC,2022,M06,2022 Jun,58.544
CUURS000SAEC,2022,M07,2022 Jul,59.192
CUURS000SAEC,2022,M08,2022 Aug,59.356
CUURS000SAEC,2022,M09,2022 Sep,58.271
CUURS000SAEC,2022,M10,2022 Oct,57.558
CUURS000SAEC,2022,M11,2022 Nov,57.346
CUURS000SAEC,2022,M12,2022 Dec,57.008
CUURS000SAEC,2023,M01,2023 Jan,56.384
CUURS000SAEC,2023,M02,2023 Feb,55.868
CUURS000SAEC,2023,M03,2023 Mar,56.116
CUURS000SAEC,2023,M04,2023 Apr,55.282
CUURS000SAEC,2023,M05,2023 May,55.62
CUURS000SAEC,2023,M06,2023 Jun,55.704
CUURS000SAEC,2023,M07,2023 Jul,54.587
CUURS000SAEC,2023,M08,2023 Aug,54.04
CUURS000SAEC,2023,M09,2023 Sep,54.273
CUURS000SAEC,2023,M10,2023 Oct,53.741
CUURS000SAEC,2023,M11,2023 Nov,53.068
CUURS000SAEC,2023,M12,2023 Dec,52.69
CUURS000SAEC,2024,M01,2024 Jan,52.287
CUURS000SAEC,2024,M02,2024 Feb,52.39
