Series Description,M1; Not seasonally adjusted,M2; Not seasonally adjusted,Currency; Not seasonally adjusted,Demand deposits; Not seasonally adjusted,Small-denomination time deposits - Total; Not seasonally adjusted,Retail money market funds; Not seasonally adjusted,IRA and Keogh accounts at depository institutions; Not seasonally adjusted. Last 4 obs are estimates.,IRA and Keogh accounts at money market funds; Not seasonally adjusted. Last 4 obs are estimates.,IRA and Keogh accounts - Total; Not seasonally adjusted. Last 4 obs are estimates.,M1; Seasonally adjusted,M2; Seasonally adjusted,Currency; Seasonally adjusted,Demand deposits; Seasonally adjusted,Small-denomination time deposits - Total; Seasonally adjusted,Retail money market funds; Seasonally adjusted,Monetary base; currency in circulation; not seasonally adjusted,Monetary base; reserve balances; not seasonally adjusted,Monetary base; total; not seasonally adjusted,"Reserves of depository institutions, total; not seasonally adjusted",Total borrowings from the Federal Reserve; not seasonally adjusted,"Reserves of depository institutions, nonborrowed; not seasonally adjusted"
2018-01,3651.9,13863.1,1528.7,1512.7,433.6,727,477.1,233.5,710.6,3651.1,13861.8,1534.6,1513.4,439.4,706.8,1610.2,2214.6,3824.8,2281,57.9,2281
2018-02,3566.1,13849.1,1538.2,1433.4,441.2,732,476.9,230.9,707.8,3614.4,13899.4,1543.7,1469.1,445,714.4,1616.3,2238.8,3855.1,2305.3,20.3,2305.2
2018-03,3688.4,14031,1555.3,1513.4,451,735,476.6,228.3,704.9,3664.5,13958,1552.5,1509.1,453,720.7,1633.6,2167,3800.6,2230.9,16,2230.9
2018-04,3698.1,14069.5,1564.9,1504.8,464,730.4,476,227.5,703.5,3656.6,13980.7,1561.1,1486,463.9,725.1,1640.9,2086.2,3727.1,2151,50.6,2151
2018-05,3655.7,13980.4,1575.9,1465.8,477.5,732,475.1,228.1,703.3,3654,14046.2,1571.3,1471.4,475.1,739.9,1652.3,2022.5,3674.8,2086.6,93.9,2086.5
2018-06,3656.6,14074.7,1584.5,1461,492,736.9,474.3,228.8,703.1,3655.6,14107.1,1581.1,1461.4,485.5,748,1662.3,1988.2,3650.5,2052.7,143.2,2052.6
2018-07,3680.7,14109.6,1590.1,1480.1,503.8,742.7,474.5,230.1,704.6,3681.5,14145.3,1589.8,1474.9,496.6,755.5,1668.5,1949.8,3618.3,2014.6,224.1,2014.4
2018-08,3690.9,14164.9,1596.2,1475.8,513.5,749.5,475.6,232,707.6,3695,14193.2,1598.1,1472.8,508.1,762.8,1673.3,1911.2,3584.5,1976.1,260.6,1975.8
2018-09,3675.7,14199.5,1606.9,1455.4,524.9,760.9,476.6,233.9,710.5,3702.2,14224.6,1606.9,1471.6,519.8,772.1,1686,1873.9,3559.8,1938,290.2,1937.7
2018-10,3722.2,14201.4,1612.4,1482,529.7,772.4,481.2,239.4,720.6,3726.1,14234.7,1613.1,1477.8,529.2,780.2,1690.8,1830,3520.9,1895.8,209.2,1895.6
2018-11,3680,14255.1,1618.5,1442.1,537.9,786,488.3,247.5,735.8,3704.2,14245,1619.3,1453.9,543.2,790.4,1701,1775.3,3476.3,1840.8,96.6,1840.7
2018-12,3800.7,14448.8,1626.7,1538,546.6,811.5,495.4,255.5,750.8,3764.3,14355.3,1625,1507.8,555.4,804.7,1709.4,1691.4,3400.7,1759.9,75.7,1759.8
2019-01,3748.5,14423.8,1623.6,1484.5,567.8,859.8,492.7,258.8,751.5,3744.4,14417.1,1629.5,1481,576.2,835.6,1707.8,1639,3346.9,1707.3,26.2,1707.2
2019-02,3705.1,14401.9,1628.5,1456.3,591.8,861,484.3,258.9,743.1,3751.2,14454.4,1635.3,1488.2,598.5,840.2,1708.2,1645.2,3353.5,1713.7,19,1713.7
2019-03,3757.3,14572.5,1641.6,1466,611.5,872.9,475.8,259,734.8,3735,14496.7,1640.3,1462.1,615.1,855.1,1720.2,1661.3,3381.5,1725.9,15,1725.9
2019-04,3823.8,14623,1649.3,1501.5,624.4,874.5,472,261.4,733.3,3779.3,14531,1646.3,1481,624.8,867.5,1727.2,1559.4,3286.7,1623.9,29.6,1623.9
2019-05,3791.3,14575,1655.6,1481.4,628.3,872.7,471.8,265.5,737.3,3788,14643.4,1650.9,1484.4,624.8,882.2,1733.2,1511.3,3244.5,1576.3,55.7,1576.3
2019-06,3831.3,14734.8,1660,1522.6,638.1,880.8,471.6,269.5,741.2,3832.1,14765.4,1656.6,1523.6,628.7,893.9,1739,1535.9,3274.8,1601.3,79.6,1601.2
2019-07,3863.5,14814.4,1666.2,1543.2,638,899.6,472.5,275.3,747.8,3865,14847.2,1664.8,1540.7,628.2,914.9,1746.8,1513.6,3260.3,1578.6,120.1,1578.5
2019-08,3850.7,14896.1,1671.5,1523.2,635.3,914,474,282.4,756.4,3862,14928.8,1672.5,1526.8,628.1,930.9,1750.5,1520.9,3271.4,1586.8,116.9,1586.7
2019-09,3878,14986.8,1683.8,1535.1,629.3,933.6,475.5,289.3,764.9,3901.2,15019.9,1683.5,1550.2,622.6,948.6,1762.9,1439.8,3202.7,1504.8,101.5,1504.7
2019-10,3924.9,15112.2,1692.3,1570.3,619.2,959.7,477.6,294.6,772.2,3931.6,15154.5,1693.3,1567.9,618.1,969.5,1771.3,1481.5,3252.8,1547.1,62.8,1547.1
2019-11,3926.1,15259.4,1704.3,1566.8,607.8,975.3,480,298.7,778.7,3952.8,15252.6,1704,1580.8,614.2,980.6,1786.2,1529.3,3315.6,1595.2,26.1,1595.2
2019-12,4043.3,15412.5,1713.1,1648.8,596.5,982.7,482.3,302.8,785.2,4008.4,15313.7,1712.3,1620.7,605.8,975.2,1796.4,1630.1,3426.5,1698.3,21.4,1698.3
2020-01,3983.5,15397.1,1714,1586.8,579.4,993,495.6,313.2,808.7,3977.6,15380.6,1719.4,1581.3,588.3,964.9,1797.2,1645.4,3442.6,1715.2,5.8,1715.2
2020-02,3941.4,15382.3,1718.2,1558.7,549.1,984.8,522.5,331.2,853.7,3979.6,15432.3,1725.2,1582.9,555.9,961,1797.5,1657,3454.5,1726.9,3.2,1726.9
2020-03,4285.7,16051.5,1747.4,1824.1,516,1027.8,549.6,349.2,898.8,4260.9,15962,1748.5,1818.5,519.3,1006,1838,2045.1,3883.1,2099.4,40553.7,2058.8
2020-04,4847.1,17097.7,1784.3,2047.6,497.9,1091.7,566,361.4,927.3,4788.8,16983.9,1782.1,2019.2,498.3,1081.7,1891.3,2953.6,4844.9,2953.6,124460.6,2829.1
2020-05,16166.3,17762.5,1824.3,2128.9,480.8,1115.4,566.2,364.3,930.5,16245.5,17850.9,1818.2,2131.8,478.2,1127.3,1931.8,3217.6,5149.4,3217.6,111844.6,3105.8
2020-06,16539.9,18099.1,1857.1,2220.4,452,1107.1,566.4,367.4,933.8,16574.1,18142.8,1852.7,2220.4,445.5,1123.2,1958.3,3043.6,5001.8,3043.6,97671.4,2945.9
2020-07,16741.8,18248.1,1884.2,2265.1,418.5,1087.8,570,371.1,941,16774.5,18293.3,1881.9,2262.8,412.3,1106.5,1981.7,2718.5,4700.3,2718.5,92943.3,2625.6
2020-08,16865.1,18315.1,1908.8,2279.1,381.3,1068.7,577.9,375.8,953.7,16898.8,18365.2,1908.7,2292.1,377.1,1089.3,2007.6,2799.7,4807.4,2799.7,83125.6,2716.6
2020-09,17131.9,18538,1929.2,2392.4,349.9,1056.3,585.9,380.5,966.4,17170.5,18591.4,1928.3,2413.2,346.4,1074.4,2027.5,2852.8,4880.3,2852.8,78387.1,2774.4
2020-10,17313.9,18681.5,1944.1,2432.5,314.7,1052.9,592.9,382.8,975.7,17365.7,18743.5,1945.4,2435.4,314.1,1063.7,2040.5,2876.6,4917.1,2876.6,74058.7,2802.6
2020-11,17630.6,18968.7,1957.9,2757.2,276.5,1061.6,598.7,382.5,981.2,17612.9,18959.3,1959.6,2780.4,279.3,1067.1,2058.3,3034.7,5093,3034.7,66597.5,2968.1
2020-12,17934.4,19232.9,1973.8,3359.8,248.4,1050.1,604.7,382.1,986.8,17803,19097.3,1974.2,3315.4,251.7,1042.6,2071.6,3135,5206.5,3135,58684.6,3076.3
2021-01,18068.6,19355.4,1988.4,3372.7,229.8,1057,606.6,380.3,986.9,18063.1,19323,1994,3361.2,232.9,1027.1,2094.2,3153.8,5248,3153.8,52590.8,3101.2
2021-02,18242.4,19502.9,1999.5,3533.7,210.3,1050.2,604.4,376.9,981.4,18322.3,19559.8,2008.1,3566.1,212.9,1024.6,2100.9,3345.9,5446.8,3345.9,53475.8,3292.5
2021-03,18696.8,19921.7,2020.1,3770.7,192.4,1032.5,602.3,373.6,975.9,18595.7,19799.3,2021.8,3756.9,193.6,1010,2117.8,3721.3,5839,3721.3,57950.3,3663.3
2021-04,19056.3,20244.9,2053.2,3850.9,178.6,1010,599.5,369.7,969.2,18946.2,20125.2,2050.2,3800.2,178.9,1000.2,2154.8,3887.3,6042.1,3887.3,66805.2,3820.5
2021-05,19136,20289.6,2068.4,4022.5,167.2,986.4,596,365.2,961.2,19266.4,20429.5,2061,4020.4,166.4,996.7,2169.5,3872.4,6041.9,3872.4,80781.7,3791.6
2021-06,19276.3,20410.3,2080.4,4264.1,158.7,975.3,592.5,360.6,953.1,19327.3,20473.2,2073,4263.1,156.7,989.2,2179,3848.1,6027,3848.1,87746,3760.3
