Date,Open,High,Low,Close ,Adj_Close ,Volume
2024/08,"5,537.84","5,651.62","5,119.26","5,648.40","5,648.40","81,097,300,000"
2024/07,"5,471.08","5,669.67","5,390.95","5,522.30","5,522.30","80,160,390,000"
2024/06,"5,297.15","5,523.64","5,234.32","5,460.48","5,460.48","76,025,620,000"
2024/05,"5,029.03","5,341.88","5,011.05","5,277.51","5,277.51","86,849,720,000"
2024/04,"5,257.97","5,263.95","4,953.56","5,035.69","5,035.69","81,747,170,000"
2024/03,"5,098.51","5,264.85","5,056.82","5,254.35","5,254.35","86,299,510,000"
2024/02,"4,861.11","5,111.06","4,853.52","5,096.27","5,096.27","82,066,930,000"
2024/01,"4,745.20","4,931.09","4,682.11","4,845.65","4,845.65","81,737,880,000"
2023/12,"4,559.43","4,793.30","4,546.50","4,769.83","4,769.83","81,530,670,000"
2023/11,"4,201.27","4,587.64","4,197.74","4,567.80","4,567.80","80,970,570,000"
2023/10,"4,284.52","4,393.57","4,103.78","4,193.80","4,193.80","83,519,460,000"
2023/09,"4,530.60","4,541.25","4,238.63","4,288.05","4,288.05","73,482,980,000"
2023/08,"4,578.83","4,584.62","4,335.31","4,507.66","4,507.66","86,840,820,000"
2023/07,"4,450.48","4,607.07","4,385.05","4,588.96","4,588.96","75,063,200,000"
2023/06,"4,183.03","4,458.48","4,171.64","4,450.38","4,450.38","87,983,140,000"
2023/05,"4,166.79","4,231.10","4,048.28","4,179.83","4,179.83","88,929,200,000"
2023/04,"4,102.20","4,170.06","4,049.35","4,169.48","4,169.48","70,861,260,000"
2023/03,"3,963.34","4,110.75","3,808.86","4,109.31","4,109.31","113,094,800,000"
2023/02,"4,070.07","4,195.44","3,943.08","3,970.15","3,970.15","80,392,280,000"
2023/01,"3,853.29","4,094.21","3,794.33","4,076.60","4,076.60","80,763,810,000"
2022/12,"4,087.14","4,100.96","3,764.49","3,839.50","3,839.50","85,249,330,000"
2022/11,"3,901.79","4,080.11","3,698.15","4,080.11","4,080.11","92,671,910,000"
2022/10,"3,609.78","3,905.42","3,491.58","3,871.98","3,871.98","95,823,760,000"
2022/09,"3,936.73","4,119.28","3,584.13","3,585.62","3,585.62","94,241,020,000"
2022/08,"4,112.38","4,325.28","3,954.53","3,955.00","3,955.00","92,252,350,000"
2022/07,"3,781.00","4,140.15","3,721.56","4,130.29","4,130.29","81,688,320,000"
2022/06,"4,149.78","4,177.51","3,636.87","3,785.38","3,785.38","106,116,710,000"
2022/05,"4,130.61","4,307.66","3,810.32","4,132.15","4,132.15","108,860,390,000"
2022/04,"4,540.32","4,593.45","4,124.28","4,131.93","4,131.93","90,367,840,000"
2022/03,"4,363.14","4,637.30","4,157.87","4,530.41","4,530.41","123,546,260,000"
2022/02,"4,519.57","4,595.31","4,114.65","4,373.94","4,373.94","92,667,710,000"
2022/01,"4,778.14","4,818.62","4,222.62","4,515.55","4,515.55","95,562,890,000"
2021/12,"4,602.82","4,808.93","4,495.12","4,766.18","4,766.18","92,750,180,000"
2021/11,"4,610.62","4,743.83","4,560.00","4,567.00","4,567.00","88,268,840,000"
2021/10,"4,317.16","4,608.08","4,278.94","4,605.38","4,605.38","80,253,600,000"
2021/09,"4,528.80","4,545.85","4,305.91","4,307.54","4,307.54","85,528,860,000"
2021/08,"4,406.86","4,537.36","4,367.73","4,522.68","4,522.68","80,500,760,000"
2021/07,"4,300.73","4,429.97","4,233.13","4,395.26","4,395.26","84,255,620,000"
2021/06,"4,216.52","4,302.43","4,164.40","4,297.50","4,297.50","102,544,180,000"
2021/05,"4,191.98","4,238.04","4,056.88","4,204.11","4,204.11","88,321,860,000"
2021/04,"3,992.78","4,218.78","3,992.78","4,181.17","4,181.17","83,124,090,000"
2021/03,"3,842.51","3,994.41","3,723.34","3,972.89","3,972.89","122,371,150,000"
2021/02,"3,731.17","3,950.43","3,725.62","3,811.15","3,811.15","99,082,320,000"
2021/01,"3,764.61","3,870.90","3,662.71","3,714.24","3,714.24","106,117,800,000"
2020/12,"3,645.87","3,760.20","3,633.40","3,756.07","3,756.07","96,375,680,000"
2020/11,"3,296.20","3,645.99","3,279.74","3,621.63","3,621.63","101,247,180,000"
2020/10,"3,385.87","3,549.85","3,233.94","3,269.96","3,269.96","89,938,980,000"
2020/09,"3,507.44","3,588.11","3,209.45","3,363.00","3,363.00","92,310,780,000"
2020/08,"3,288.26","3,514.77","3,284.53","3,500.31","3,500.31","82,466,520,000"
2020/07,"3,105.92","3,279.99","3,101.17","3,271.12","3,271.12","96,928,130,000"
2020/06,"3,038.78","3,233.13","2,965.66","3,100.29","3,100.29","131,458,880,000"
2020/05,"2,869.09","3,068.67","2,766.64","3,044.31","3,044.31","107,135,190,000"
2020/04,"2,498.08","2,954.86","2,447.49","2,912.43","2,912.43","123,608,160,000"
2020/03,"2,974.28","3,136.72","2,191.86","2,584.59","2,584.59","162,185,380,000"
