DATE,FEDFUNDS
2019/08,2.13
2019/09,2.04
2019/10,1.83
2019/11,1.55
2019/12,1.55
2020/01,1.55
2020/02,1.58
2020/03,0.65
2020/04,0.05
2020/05,0.05
2020/06,0.08
2020/07,0.09
2020/08,0.1
2020/09,0.09
2020/10,0.09
2020/11,0.09
2020/12,0.09
2021/01,0.09
2021/02,0.08
2021/03,0.07
2021/04,0.07
2021/05,0.06
2021/06,0.08
2021/07,0.1
2021/08,0.09
2021/09,0.08
2021/10,0.08
2021/11,0.08
2021/12,0.08
2022/01,0.08
2022/02,0.08
2022/03,0.2
2022/04,0.33
2022/05,0.77
2022/06,1.21
2022/07,1.68
2022/08,2.33
2022/09,2.56
2022/10,3.08
2022/11,3.78
2022/12,4.1
2023/01,4.33
2023/02,4.57
2023/03,4.65
2023/04,4.83
2023/05,5.06
2023/06,5.08
2023/07,5.12
2023/08,5.33
2023/09,5.33
2023/10,5.33
2023/11,5.33
2023/12,5.33
2024/01,5.33
2024/02,5.33
2024/03,5.33
2024/04,5.33
2024/05,5.33
2024/06,5.33
2024/07,5.33
2024/08,5.33
