date,laid_off_by_month,funds_raised_by_month
2020-03-01,7850.0,15530.2
2020-04-01,19821.0,43862.0
2020-05-01,14674.0,74191.0
2020-06-01,3926.0,11724.1
2020-07-01,1612.0,4447.0
2020-08-01,1456.0,765.0
2020-09-01,567.0,865.8
2020-10-01,110.0,2552.5
2020-11-01,237.0,607.4
2020-12-01,132.0,352.0
2021-01-01,3172.0,5512.0
2021-02-01,336.0,1610.0
2021-03-01,47.0,355.0
2021-04-01,261.0,517.5
2021-06-01,2434.0,1600.0
2021-08-01,67.0,1014.0
2021-09-01,161.0,1632.0
2021-10-01,22.0,426.0
2021-11-01,2070.0,143.0
2021-12-01,900.0,1105.0
2022-01-01,510.0,4201.0
2022-02-01,3285.0,3834.0
2022-03-01,4105.0,8056.0
2022-04-01,1958.0,132199.0
2022-05-01,6367.0,140295.0
2022-06-01,9451.0,179039.0
2022-07-01,8836.0,56320.0
2022-08-01,9800.0,47451.0
2022-09-01,3396.0,137693.0
2022-10-01,10446.0,28690.0
2022-11-01,45938.0,97908.0
2022-12-01,5803.0,32441.0
2023-01-01,70059.0,99960.0
2023-02-01,24961.0,70754.0
2023-03-01,29895.0,69481.0
2023-04-01,8278.0,36769.0
2023-05-01,9254.0,17848.0
2023-06-01,6477.0,68053.2
2023-07-01,5400.0,23905.0
2023-08-01,4820.0,18062.0
2023-09-01,3808.0,29094.0
2023-10-01,6450.0,50662.0
2023-11-01,6815.0,27914.2
2023-12-01,3784.0,42568.0
2024-01-01,21390.0,64714.0
2024-02-01,12715.0,44473.3
2024-03-01,6898.0,36298.0
2024-04-01,16688.0,68669.0
2024-05-01,6581.0,44281.0
2024-06-01,4178.0,15804.0
2024-07-01,6435.0,7914.0
2024-08-01,19335.0,3488.0
