Series ID,Year,Period,Label,Value
CEU5051800001,2018,M01,2018 Jan,322.5
CEU5051800001,2018,M02,2018 Feb,327.6
CEU5051800001,2018,M03,2018 Mar,329.1
CEU5051800001,2018,M04,2018 Apr,330.1
CEU5051800001,2018,M05,2018 May,332.2
CEU5051800001,2018,M06,2018 Jun,335.1
CEU5051800001,2018,M07,2018 Jul,333.0
CEU5051800001,2018,M08,2018 Aug,331.7
CEU5051800001,2018,M09,2018 Sep,331.3
CEU5051800001,2018,M10,2018 Oct,334.0
CEU5051800001,2018,M11,2018 Nov,333.7
CEU5051800001,2018,M12,2018 Dec,332.0
CEU5051800001,2019,M01,2019 Jan,329.1
CEU5051800001,2019,M02,2019 Feb,334.5
CEU5051800001,2019,M03,2019 Mar,336.3
CEU5051800001,2019,M04,2019 Apr,335.9
CEU5051800001,2019,M05,2019 May,336.9
CEU5051800001,2019,M06,2019 Jun,339.3
CEU5051800001,2019,M07,2019 Jul,347.0
CEU5051800001,2019,M08,2019 Aug,349.1
CEU5051800001,2019,M09,2019 Sep,348.4
CEU5051800001,2019,M10,2019 Oct,352.3
CEU5051800001,2019,M11,2019 Nov,354.2
CEU5051800001,2019,M12,2019 Dec,355.8
CEU5051800001,2020,M01,2020 Jan,360.4
CEU5051800001,2020,M02,2020 Feb,362.3
CEU5051800001,2020,M03,2020 Mar,362.9
CEU5051800001,2020,M04,2020 Apr,361.3
CEU5051800001,2020,M05,2020 May,356.8
CEU5051800001,2020,M06,2020 Jun,362.0
CEU5051800001,2020,M07,2020 Jul,362.0
CEU5051800001,2020,M08,2020 Aug,357.5
CEU5051800001,2020,M09,2020 Sep,358.1
CEU5051800001,2020,M10,2020 Oct,362.8
CEU5051800001,2020,M11,2020 Nov,366.1
CEU5051800001,2020,M12,2020 Dec,368.3
CEU5051800001,2021,M01,2021 Jan,366.6
CEU5051800001,2021,M02,2021 Feb,372.4
CEU5051800001,2021,M03,2021 Mar,375.1
CEU5051800001,2021,M04,2021 Apr,388.4
CEU5051800001,2021,M05,2021 May,386.9
CEU5051800001,2021,M06,2021 Jun,399.8
CEU5051800001,2021,M07,2021 Jul,402.4
CEU5051800001,2021,M08,2021 Aug,413.6
CEU5051800001,2021,M09,2021 Sep,420.6
CEU5051800001,2021,M10,2021 Oct,427.1
CEU5051800001,2021,M11,2021 Nov,430.6
CEU5051800001,2021,M12,2021 Dec,437.4
CEU5051800001,2022,M01,2022 Jan,440.6
CEU5051800001,2022,M02,2022 Feb,445.7
CEU5051800001,2022,M03,2022 Mar,448.4
CEU5051800001,2022,M04,2022 Apr,457.6
CEU5051800001,2022,M05,2022 May,460.0
CEU5051800001,2022,M06,2022 Jun,466.6
CEU5051800001,2022,M07,2022 Jul,471.2
CEU5051800001,2022,M08,2022 Aug,474.6
CEU5051800001,2022,M09,2022 Sep,479.2
CEU5051800001,2022,M10,2022 Oct,481.2
CEU5051800001,2022,M11,2022 Nov,480.9
CEU5051800001,2022,M12,2022 Dec,490.0
CEU5051800001,2023,M01,2023 Jan,484.4
CEU5051800001,2023,M02,2023 Feb,483.4
CEU5051800001,2023,M03,2023 Mar,482.7
CEU5051800001,2023,M04,2023 Apr,485.7
CEU5051800001,2023,M05,2023 May,486.2
CEU5051800001,2023,M06,2023 Jun,491.2
CEU5051800001,2023,M07,2023 Jul,495.4
CEU5051800001,2023,M08,2023 Aug,495.8
CEU5051800001,2023,M09,2023 Sep,491.9
CEU5051800001,2023,M10,2023 Oct,490.9
CEU5051800001,2023,M11,2023 Nov,491.5
CEU5051800001,2023,M12,2023 Dec,495.5
CEU5051800001,2024,M01,2024 Jan,494.2
CEU5051800001,2024,M02,2024 Feb,494.6
CEU5051800001,2024,M03,2024 Mar,495.4
CEU5051800001,2024,M04,2024 Apr,495.5
CEU5051800001,2024,M05,2024 May,493.3
CEU5051800001,2024,M06,2024 Jun,496.0
CEU5051800001,2024,M07,2024 Jul,496.8
CEU6054150001,2018,M01,2018 Jan,2079.5
CEU6054150001,2018,M02,2018 Feb,2088.8
CEU6054150001,2018,M03,2018 Mar,2077.6
CEU6054150001,2018,M04,2018 Apr,2095.1
CEU6054150001,2018,M05,2018 May,2105.8
CEU6054150001,2018,M06,2018 Jun,2109.7
