Series ID,Year,Period,Label,Value
CMU2025100100000D,2018,Q01,2018 Qtr1,48.44
CMU2025100100000D,2018,Q02,2018 Qtr2,49.08
CMU2025100100000D,2018,Q03,2018 Qtr3,49.92
CMU2025100100000D,2018,Q04,2018 Qtr4,49.00
CMU2025100100000D,2019,Q01,2019 Qtr1,49.87
CMU2025100100000D,2019,Q02,2019 Qtr2,50.21
CMU2025100100000D,2019,Q03,2019 Qtr3,50.68
CMU2025100100000D,2019,Q04,2019 Qtr4,50.94
CMU2025100100000D,2020,Q01,2020 Qtr1,50.82
CMU2025100100000D,2020,Q02,2020 Qtr2,50.73
CMU2025100100000D,2020,Q03,2020 Qtr3,51.27
CMU2025100100000D,2020,Q04,2020 Qtr4,49.09
CMU2025100100000D,2021,Q01,2021 Qtr1,50.55
CMU2025100100000D,2021,Q02,2021 Qtr2,50.49
CMU2025100100000D,2021,Q03,2021 Qtr3,51.67
CMU2025100100000D,2021,Q04,2021 Qtr4,53.17
CMU2025100100000D,2022,Q01,2022 Qtr1,54.31
CMU2025100100000D,2022,Q02,2022 Qtr2,54.99
CMU2025100100000D,2022,Q03,2022 Qtr3,55.72
CMU2025100100000D,2022,Q04,2022 Qtr4,57.56
CMU2025100100000D,2023,Q01,2023 Qtr1,58.38
CMU2025100100000D,2023,Q02,2023 Qtr2,59.00
CMU2025100100000D,2023,Q03,2023 Qtr3,59.14
CMU2025100100000D,2023,Q04,2023 Qtr4,60.84
CMU2025100100000D,2024,Q01,2024 Qtr1,61.65
CMU2025100100000P,2018,Q01,2018 Qtr1,66.5
CMU2025100100000P,2018,Q02,2018 Qtr2,66.1
CMU2025100100000P,2018,Q03,2018 Qtr3,66.2
CMU2025100100000P,2018,Q04,2018 Qtr4,67.4
CMU2025100100000P,2019,Q01,2019 Qtr1,67.5
CMU2025100100000P,2019,Q02,2019 Qtr2,67.9
CMU2025100100000P,2019,Q03,2019 Qtr3,68.0
CMU2025100100000P,2019,Q04,2019 Qtr4,68.2
CMU2025100100000P,2020,Q01,2020 Qtr1,68.1
CMU2025100100000P,2020,Q02,2020 Qtr2,67.6
CMU2025100100000P,2020,Q03,2020 Qtr3,67.7
CMU2025100100000P,2020,Q04,2020 Qtr4,66.6
CMU2025100100000P,2021,Q01,2021 Qtr1,66.7
CMU2025100100000P,2021,Q02,2021 Qtr2,67.7
CMU2025100100000P,2021,Q03,2021 Qtr3,67.5
CMU2025100100000P,2021,Q04,2021 Qtr4,67.2
CMU2025100100000P,2022,Q01,2022 Qtr1,66.9
CMU2025100100000P,2022,Q02,2022 Qtr2,66.7
CMU2025100100000P,2022,Q03,2022 Qtr3,66.8
CMU2025100100000P,2022,Q04,2022 Qtr4,66.3
CMU2025100100000P,2023,Q01,2023 Qtr1,66.2
CMU2025100100000P,2023,Q02,2023 Qtr2,66.3
CMU2025100100000P,2023,Q03,2023 Qtr3,66.3
CMU2025100100000P,2023,Q04,2023 Qtr4,65.5
CMU2025100100000P,2024,Q01,2024 Qtr1,65.1
CMU2025100120000D,2018,Q01,2018 Qtr1,43.89
CMU2025100120000D,2018,Q02,2018 Qtr2,44.50
CMU2025100120000D,2018,Q03,2018 Qtr3,45.00
CMU2025100120000D,2018,Q04,2018 Qtr4,43.51
CMU2025100120000D,2019,Q01,2019 Qtr1,44.25
CMU2025100120000D,2019,Q02,2019 Qtr2,44.74
CMU2025100120000D,2019,Q03,2019 Qtr3,45.01
CMU2025100120000D,2019,Q04,2019 Qtr4,45.13
CMU2025100120000D,2020,Q01,2020 Qtr1,45.48
CMU2025100120000D,2020,Q02,2020 Qtr2,45.37
